country,customers,peers
"United Arab Emirates",10,0
Albania,4,0
Armenia,15,0
"Netherlands Antilles",9,0
Angola,4,0
AP,5,0
Argentina,179,0
Austria,247,0
Australia,651,12
Aruba,1,0
Azerbaijan,13,0
"Bosnia and Herzegovina",17,0
Barbados,2,0
Bangladesh,75,0
Belgium,41,0
Bulgaria,288,0
Bahrain,10,0
Bermuda,2,0
Bolivia,7,0
Brazil,476,0
Bhutan,1,0
Botswana,2,0
Belarus,28,0
Canada,766,48
Switzerland,190,0
Chile,82,0
Cameroon,2,0
China,244,0
Colombia,48,0
"Costa Rica",2,0
"Serbia and Montenegro",50,0
Cuba,2,0
Cyprus,10,0
"Czech Republic",105,0
Germany,768,16
Denmark,81,0
Algeria,1,0
Ecuador,26,0
Estonia,4,0
Egypt,35,0
Spain,137,0
EU,333,127
Finland,80,0
"Faroe Islands",3,0
France,213,1
"United Kingdom",792,115
Georgia,24,0
Ghana,9,0
Gibraltar,1,0
Greece,51,0
Guatemala,12,0
Guam,1,0
"Hong Kong",295,2
Honduras,4,0
Croatia,36,0
Haiti,1,0
Hungary,91,0
Indonesia,307,0
Ireland,27,0
Israel,172,0
India,318,0
"Iran, Islamic Republic of",52,0
Iceland,19,0
Italy,280,0
Jamaica,3,0
Jordan,15,0
Japan,754,46
Kenya,5,0
Kyrgyzstan,7,0
Cambodia,8,0
"Korea, Republic of",842,14
Kuwait,26,0
Kazakhstan,42,0
"Lao People's Democratic Republic",1,0
Lebanon,24,0
Liechtenstein,2,0
"Sri Lanka",8,0
Lesotho,1,0
Lithuania,78,0
Luxembourg,9,0
Latvia,106,0
Morocco,1,0
"Moldova, Republic of",14,0
"Macedonia, the Former Yugoslav Republic of",13,0
Mali,1,0
Myanmar,1,0
Mongolia,17,0
Macao,1,0
Malta,23,0
Maldives,1,0
Mexico,194,0
Malaysia,53,0
Mozambique,2,0
Namibia,3,0
"New Caledonia",1,0
Nigeria,27,0
Nicaragua,6,0
Netherlands,249,0
Norway,35,0
NO_COUNTRY,2,0
Nepal,5,0
"New Zealand",159,0
Panama,48,0
Peru,4,0
Philippines,120,0
Pakistan,46,0
Poland,1112,15
"Puerto Rico",20,0
"Palestinian Territory, Occupied",7,0
Portugal,40,0
Paraguay,6,0
Romania,803,0
"Russian Federation",2200,15
Rwanda,1,0
"Saudi Arabia",51,0
Sudan,4,0
Sweden,173,14
Singapore,115,0
Slovenia,148,0
Slovakia,23,0
"El Salvador",4,0
"Syrian Arab Republic",1,0
Thailand,220,0
Turkey,175,0
"Trinidad and Tobago",2,0
"Taiwan, Province of China",110,0
Ukraine,1029,0
"United States",18427,513
Uruguay,11,0
Uzbekistan,3,0
Venezuela,22,0
Vietnam,36,0
"South Africa",73,11
Zimbabwe,1,0
